,author :,title :,journal :,year :
77,"CAO NING, CHANG YINGCHUAN, CHEN XICHEN, DUAN ZHANGRO, FAN HUI, GUAN WEIYAN, HOU DESEN, LIU JINXIANG, RAN QIZE, SHAO XIUYU, ZHENG JIAQI,",THE HIGH-TC SUPERCONDUCTIVITY IN SM(X)BA(1-X)CU(1)O(3-Y) COMPOUND SYSTEM,"SOLID STATE COMMUN.,63(1987)1125",1987.0
78,"E.WALKER, J.-L.JORDA, K.YVON, M.FRANCOIS, P.FISHER,",STRUCTURE OF THE HIGH-TEMPERATURE SUPERCONDUCTOR BA(2)Y(1)CU(3)O(7) BY X-RAY AND NEUTRON POWDER DIFFRACTION,"SOLID STATE COMMUN.,63(1987)1149",1987.0
79,"CHIN LIN, CHONG-DE WEI, CUO LU, GUO-ZHONG LI, JIAN LAN, SUN-QI FENG, YUN-XI SUN, ZI-ZHAO GAN, ZUN-XIAO LIU,",MAGNETIC PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR Y(1)BA(2)CU(3)O(9-X),"SOLID STATE COMMUN.,63(1987)1129",1987.0
80,"A.GRANDIN, B.RAVEAU, C.MICHEL, F.DESLANDES, J.PROVOST, M.HERVIEU, M.M.BOREL,",SUPERCONDUCTIVITY IN THE BI-SR-CU-O SYSTEM,"Z.PHYS.B:CONDENSED MATTER,68(1987)421",1987.0
81,"Masayasu ISHIKAWA, Tadashi SUGANO, Toshiro TAKABATAKE,",Dependence of Magnetic Susceptibility of Ba2YCu3O7-x on the Oxygen Defect Concentration,"Jpn.J.Appl.Phys.,26(1987)L1859-L1861",1987.0
82,"E.J. McNiff, Jr, G.W. Hull, J.M. Tarascon, K.A. Delin, L.H. Greene, P. Barboux, S. Foner, T.P. Orlando, W.R. Mckinnon,",3d-metal doping of the high-temperature superconducting perovskites La-Sr-Cu-O and Y-Ba-Cu-O,"Phys.Rev.B,36(1987)8393",1987.0
84,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0
94,"J.E. Tkaczyk, J.S. Moodera, P.M. Tedrow,",High-magnetic-field study of superconducting YBa2Cu3O7-delta,"Phys.Rev.B,36(1987)8329",1987.0
95,"A.ZANGVIL, D.M.GINSBERG, J.CHEN, J.J.FREEMAN, T.A.FRIEDMANN,",LOW-TEMPERATURE THERMAL CONDUCTIVITY OF Y(1)BA(2)CU(3)O(7-Z),"PHYS.REV.B,36(1987)8786",1987.0
96,"H.C. Ku, H.D. Yang, P. Klavins, R.N. Shelton,",Magnetic ordering and magnetization in the high-temperature superconductor ErBa2Cu3O7-delta,"Phys.Rev.B,36(1987)8791",1987.0
97,"A.R.MOODENBAUGH, C.Y.YANG, J.J.REILLY, M.SUENAGA, S.M.HEALD, T.SKOTHEIM, X.-Q.YANG,",SUPERCONDUCTING H(X)Y(1)BA(2)CU(3)O(7): THE ROLE OF H,"PHYS.REV.B,36(1987)8798",1987.0
100,"BAI-CAI MIAO, HONG-JUAN YE, WEI LU, XUE-CHU SHEN, YI-MING CAI, YONG-JIA QIAN, ZHI-YI YU,",SUPERCONDUCTING ENERGY GAP OF Y(1)BA(2)CU(3)O(9-Z) MEASURED BY FAR-INFRARED REFLECTION,"PHYS.REV.B,36(1987)8802",1987.0
101,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0
