,author :,title :,journal :,year :
1943,"J.L.PENG, R.L.GREENE, S.J.HAGEN, W.JIANG, X.-Q.XU, Z.Y.LI,",THERMOELECTRIC POWER OF ND2-XCEXCUO4 CRYSTALS,"PHYS.REV.B,45(1992)7356",1992.0
1945,"C.V.TOMY, PARAG BHARGAVA, S.K.MALIK,","SUPPRESSION OF SUPERCONDUCTIVITY IN THE OXIDE SYSTEMS R1-XPRXBA2CU3O7-Y (R=SM,GD,AND TM)","PHYS.REV.B,44(1991)7042",1991.0
1960,"C.ALLGEIER, J.J.NEUMEIER, J.S.SCHILLING,",STRONG INFLUENCE OF THE OXYGEN CONTENT ON THE ELECTRICAL AND MAGNETIC PROPERTIES OF BI2SR1.6LA0.4CUOY,"PHYSICA C,194(1992)337",1992.0
1962,"C.R.VAROY, H.J.TRODAHL,",THERMOPOWER OF BI2-XPBXSR2CACU2O8+Z,"PHYS.REV.B,46(1992)463",1992.0
1967,"TAMAKI KOBAYASHI, TOHRU DEN,","PREPARATION AND PROPERTIES OF YSR2CU3-XMXOY (M=LI,AL,TI,V,CR,FE,CO,GA,GE,MO,W AND RE)","PHYSICA C,196(1992)141",1992.0
2006,"M.REISSNER, P.L.STEGER, W.STEINER, X.Z.WANG,",OXYGEN ORDERING AND SUPERCONDUCTIVITY IN DYBASRCU3OY,"PHYSICA C,196(1992)247",1992.0
2008,"Kuniyuki KOYAMA, Seiichiro NOGUCHI, Yasuji SUZUKI,","Electrical, Magnetic and Superconducting Properties of the High-Tc Superconductor Ba2Nd1-xPrxCu3O7-delta",Japanese J.Appl.Phys.27(1988)1862-1866,1988.0
2010,"A.KUFUDAKIS, CH.MITROS, D.NIARCHOS, D.ZEMANOVA, E.POLLERT, H.GAMARI-SEALE, P.SVOBODA, P.VASEK,",SUPERCONDUCTIVITY OF PR0.5R0.5BA2CU3O7-Y SYSTEM AND THE EXISTENCE OF A CRITICAL ION RADIUS FOR SUPPRESSION OF SUPERCONDUCTIVITY IN R1-XPRXBA2CU3O7-Y,"PHYSICA C,196(1992)90",1992.0
2017,"D.C.JOHNSTON, F.C.CHOU, J.H.CHO,","SYNTHESIS,CHARACTERIZATION,AND SUPERCONDUCTING AND MAGNETIC PROPERTIES OF ELECTROCHEMICALLY OXIDIZED LA2CUO4+Z AND LA2-XSRXCUO4+Z (0.01<-X<-0.33,0.01<-Z<-0.36)","PHYSICA C,197(1992)303",1992.0
2026,"A.P.B.SINHA, D.E.MORRIS, H.B.LIU, J.C.HO, X.W.CAO,","ENHANCEMENT OF TC TO 60 K IN (PB,CA)SR2(CA,Y)CU2O7-Z BY HIGH PRESSURE OXYGEN TREATMENT AND QUENCHING","PHYSICA C,197(1992)101",1992.0
2030,"CH.SAUER, J.OLEJNICZAK, M.M.ABD-ELMEGUID, U.KOBLER, W.ZINN,",EFFECT OF SN SUBSTITUTION FOR CU ON THE MAGNETIC AND SUPERCONDUCTING PROPERTIES OF LA2-XSRX(CU1-YSNY)O4+Z (0<-X<-0.15),"PHYSICA C,196(1992)315",1992.0
2033,"ALI NAZIRIPOUR, ALLEN M.HERMANN, CHENG DONG, HONG MIN DUAN, JOHN.W.DREXLER, WILLIAM KIEHL,",COMPOSITION DEPENDENCE OF THE SUPERCONDUCTING PROPERTIES OF THE TL-BA-CA-CU-O SYSTEM,"PHYSICA C,196(1992)291",1992.0
2039,"G.GUNTHERODT, L.BUSCHMANN, M.BOEKHOLT, M.FLEUSTER, TH.BOLLMEIER,",STRUCTURAL AND SUPERCONDUCTING PROPERTIES OF BI2SR2CA(CU1-YCOY)2O8+Z SINGLE CRYSTALS,"PHYSICA C,198(1992)33",1992.0
2044,"R.HORYN, T.CICHOREK, W.WOJAKOWSKI, Z.HENKIE,",THE EFFECT OF ISOELECTRONIC CATION SUBSTITUTION AND DEOXYGENATION OF BI8SR8-XCA4+XCU9O33+E-Z SUPERCONDUCTORS ON THE THERMOPOWER AND RESISTIVITY,"PHYSICA C,198(1992)162",1992.0
2054,"A.TIGHEZZA, J.L.REHSPRINGER, M.DRILLON,",THE OXYFLUORIDE ND2CUO4-XFX,"PHYSICA C,198(1992)209",1992.0
2058,"D.M.DE LEEUW, E.N.VAN EENIGE, J.J.SCHOLZ, R.GRIESSEN, R.J.WIJNGAARDEN,",PRESSURE DEPENDENCE OF TC AND HC2 OF CALABACU3O7 UP TO 50 GPA,"PHYSICA C,198(1992)231",1992.0
2059,"D.A.JEFFERSON, P.P.EDWARDS, R.S.LIU, S.F.HU,","SUPERCONDUCTIVITY AT 124 K IN (TL,PB)SR2CA2CU3O9","PHYSICA C,198(1992)318",1992.0
2061,"C.BEDUZ, R.G.SCURLOCK, Y.YANG, Z.YI,",TRANSPORT CRITICAL CURRENTS AND FLUX PINNING IN MELT-GROWN YBA2CU3O7-Z,"PHYSICA C,199(1992)23",1992.0
2062,"K.KISHIO, M.KONCZYKOWSKI, N.CHIKUMOTO, N.MOTOHIRA,",TEMPERATURE DEPENDENCE OF THE LOWER CRITICAL FIELD UNDER THE EFFECT OF SURFACE BARRIES IN BI2SR2CACU2O8 CRYSTAL,"PHYSICA C,199(1992)32",1992.0
2063,"H.PANKOWSKA, L.OUHAMMOU, O.GOROCHOV, R.SURYANARAYANAN,",REMARKABLE INFLUENCE OF CA ON THE NORMAL STATE AND THE SUPERCONDUCTING PROPERTIES OF YSRBACU3-YCOYO6+Z (Y=0.3),"PHYSICA C,199(1992)37",1992.0
2066,"D.E.MORRIS, H.J.BORNMANN, M.A.CHUEV, V.M.CHELEPANOV,",MAGNETIZATION MEASUREMENTS AND MOSSBAUER SPECTROSCOPY IN IRONDOPED YBA2CU4O8,"PHYSICA C,199(1992)130",1992.0
2069,"N.ISHIKAWA, N.KURODA, R.YOSHIZAKI, S.NAKAMURA,",EFFECT OF 0XYGEN VACANCY ON MAGNETIC AND SUPERCONDUCTING PROPERTIES IN LA1.82SR0.18CUO4,"PHYSICA C,199(1992)143",1992.0
2074,"AKIKO NARA, H.YAMAUCHI, KIYOTAKA MATSUURA, SATOSHI TAKANO, SEIJI ADACHI, YUJI YAEGASHI,","PREPARATION AND PROPERTIES OF CA-DOPED ""YB-124"" SUPERCONDUCTORS","PHYSICA C,199(1992)177",1992.0
2084,"A.M.CUCOLO, A.NIGRO, F.LICCI, R.DI LEO,",TUNNELING SPECTROSCOPY OF FE-DOPED YBA2CU3O7 SINGLE CRYSTALS,"PHYS.REV.B,46(1992)9250",1992.0
2085,"K.KINOSHITA, T.YAMADA,",SUPERCONDICTIVITY AND ANTIFERROMAGNETISM IN LA2-XCA1-XCU2O6+-ZAND LA2-XSRXCACU2O6+-Z,"PHYS.REV.B,46(1992)9116",1992.0
2093,"C. AYACHE, J.Y. HENRY, L. FORRO, M. RAKI,",HALL EFFECT AND THERMOELECTRIC POWER OF AN YBa2Cu3O6.8 SINGLE CRYSTAL,"Solid State Commun.,69(1989)1097-1101",1989.0
2094,"B. Chevalier, C.J.P. Soethout, J. Darriet, J. Etourneau,",SUPERCONDUCTING PHASES IN THE SERIES Bi2Sr2-xLaxCuO6+d (0< x <1),"Solid State Commun.,69(1989)1093-1096",1989.0
2095,"C.F. Chen, J.W. Chen,",Superconductivity in (Y1-xMx)Ba2Cu3O7-delta(M=Cd and Zn)Systems,"Solid State Commun.,69(1989)1079-1083",1989.0
2107,"A. Kabede, Chan-Soo Jee, D. Nichols, G.H. Myer, I. Perez, J.E. Crow, P. Schlottmann, R.E. Salomon, T. Mihalisin,","DEPRESSION OF SUPERCONDUCTIVITY, HEAVY FERMION BEHAVIOR AND VALENCE FLUCTUATIONS IN Y1-xPrxba2Cu3O7","Solid State Commun.,69(1989)379-384",1989.0
2113,"A.G. Gapotchenko, E.S. Itskevich, S.L. Bud'ko,",EFFECT OF PRESSURE ON CRITICAL FIELDS AND Tc OF La1.8Sr0.2CuO4 AND YBa2Cu3O7 HIGH-Tc CERAMICS,"Solid State Commun.,69(1989)387-389",1989.0
2116,"K.YAMAYA, M.IDO, M.ODA, N.YAMADA, Y.OKAJIMA,",PRESSURE EFFECT ON THE LOW TEMPERATURE TETRAGONAL PHASE AND THE SUPERCONDUCTIVITY IN (LA1-XBAX)2CUO4,"SOLID STATE COMMUN.,70(1989)1151",1989.0
2117,"MASASHIGE ONODA, MASATOSHI SATO, SHINJI KONDOH,",OXYGEN ISOTOPE EFFECT OF SUPERCONDUCTING (ND1-XCEX)2CUO4-Z SYSTEM,"SOLID STATE COMMUN.,70(1989)1141",1989.0
2118,"A.ZETTL, G.BRICENO,",TUNNELING SPECTROSCOPY IN BI2SR2CACU2O8: IS THE ENERGY GAP ANISOTROPIC?,"SOLID STATE COMMUN.,70(1989)1055",1989.0
2119,"J.T. Markert, M.B. Maple,",HIGH TEMPERATURE SUPERCONDUCTIVITY IN Th-DOPED Nd2CuO4-y,"Solid State Commun.,70(1989)145-147",1989.0
2120,"A. Jez'owski,",FIVIDENCE FOR HYSTERESIS BEHAVIOUR AND ANOMALY OF THERMAL CONDUCTIVITY IN Y-Ba-Cu-O SUPERCONDUCTOR,"Solid State Commun.,71(1989)419-424",1989.0
2122,"C. Dong, J.H. Wang, L. Sheng, X. Fei, Y.H. Liu, Z.Z. Sheng,",SUPERCONDUCTIVITY IN THE R-Tl-Sr-Cu-O SYSTEM WITH R= RARE EARTHS,"Solid State Commun.,71(1989)739-741",1989.0
2126,"C.R. Kannewurf, H.O. Marcy, M.G. Kanatzidis, T.J. Marks, W.J. McCarthy,",STRUCTURAL AND ELECTRONIC ANISOTROPY IN POLYCRYSTALLINE COMPACTIONS OF THE HIGH-Tc SUPERCONDUCTOR EuBa2Cu3O7-delta,"Solid State Commnu.,65(1988)1333-1337",1988.0
2127,"A.ERLE, E.ZIRNGIEBL, H.-D.JOSTARNDT, H.SCHMIDT, J.LANGEN, M.GALFFY, M.VEIT, S.BLUMENRODER,",BULK SUPERCONDUCTIVITY AT 70 K IN TETRAGONAL YBA2(CU0.96CO0.04)3O7-Y,"SOLID STATE COMMUN.,65(1988)973",1988.0
2129,"Chen Zuyao, Fang Minghu, Qian Yitai, Sun Dunming, Xia Jiansheng, Xu Zhuan, Zhang Qirui, Zhao Zhanchun,",Reserch on Anisotropy for Single Craystal GdBa2Cu3O7-y,"Solid State Commun.,68(1988)827-829",1988.0
2130,"A. Plecenik, S. Benacka, S. Chromik, S. Gazi, V.M. Svistunov,",TUNNELING SPECTROSCOPY IN THIN FILM SUPERCONDUCTING JUNCTTIONS YBCO/Pb,"Solid State Commun.,68(1988)",1988.0
2131,"I.K.GOPALAKRISHNAN, J.V.YAKHMI, P.V.P.S.S.SASTRY, R.A.GUNASEKARAN, R.M.IYER,",PHASE STABILITY AND SUPERCONDUCTING CHARACTERISTICS OF CABA(LA1-XRX)CU3O7-Z(R=RARE EARTH) SYSTEM,"PHYSICA C,199(1992)240",1992.0
2151,"A.CHAKRABORTY, A.J.EPSTEIN, B.R.PATTON, F.ZUO, J.R.GAINES, X.D.CHEN,",ANOMALOUS MAGNETIC PROPERTIES OF Y1-XSCXBA2CU3O7-Z,"SOLID STATE COMMUN.,68(1988)239",1988.0
2154,"O.F. de Lima, R.F. Jardim, S. Gama, S. Zacarelli,",MICROSTRUCTURE AND SUPERCONDUCTING FRACTION IN THE YBa2(Cu1-xMnx)3O7-delta,"Solid State Commun.,68(1988)",1988.0
2158,"D.J.JOHNSON, J.B.KETTERSON, Q.ROBINSON, S.N.SONG,",ANISOTROPIC PROPERTIES OF SINTER-FORGED YBA2CU3O7-Z,"SOLID STATE COMMUN.,68(1988)391",1988.0
2160,"A. Labarta, J. Tejada, J.M. Gonzalez-Calbet, M. Vallet, X. Obradors,",Meissner effect and critical fields in an inhomogeneous BaHoCu3O7-x high-Tc superconductor,"Phys.Rev.B,38(1988)2455",1988.0
2161,"E.A.HAYRI, K.V.RAMANUJACHARY, MARTHA GREENBLATT, S.LI,","ORTHORHOMBIC-TO-TETRAGONAL TRANSITION IN R1+XBA2-XCU3O7-Z (R=NS,SM, AND FU)","PHYS.REV.B,38(1988)2450",1988.0
2173,"A.R.MOODENBAUGH, M.SUENAGA, R.N.SHELTON, T.J.FOLKERTS, YOUWEN XU,",SUPERCONDUCTING PROPERTIES OF LA(2-X)BA(X)CU(1)O(4),"PHYS.REV.B,38(1988)4596",1988.0
2179,"E.L.BENITEZ, E.M.MCCARRON, J.J.LIN, M.K.CRAWFORD, S.J.POON, W.E.FARNETH,",OXYGEN ISOTOPE EFFECT ON CRITICAL TEMPERATURE AND PHONON MODES IN Y(1)BA(2)CU(3)O(7),"PHYS.REV.B,38(1988)5025",1988.0
2180,"TETSURO NAKAMURA, TOORU ATAKE, YASUTOSHI SAITO, YOSHIKI TAKAGI,",HEAT CAPACITY OF THE HIGH-TEMPERATURE SUPERCONDUCTOR BA(2)DY(1)CU(3)O(7),"PHYS.REV.B,37(1988)552",1988.0
2181,"B.G.PAZOL, D.M.GINSBERG, D.S.CITRIN, M.E.REEVES, T.A.FRIEDMANN,",SPECIFIC HEAT OF GD(1)BA(2)CU(3)O(7-Z) IN THE NORMAL AND SUPERCONDUCTING STATES,"PHYS.REV.B,36(1987)6915",1987.0
2183,"A.UMEZAWA, E.E.ALP, G.W.GRABTREE, L.MORSS, L.SODERHOLM, W.K.KWOK,",EFFECT OF MAGNETIC IMPURITIES ON HIGH-TEMPERATURE SUPERCONDUCTIVITY IN LA(1.85)SR(0.15)CU(1)O(4),"PHYS.REV.B,36(1987)5258",1987.0
2186,"CARLOS RETTORI, DAN DAVIDOV, IGAL BELAISH, ISRAEL FELNER,","MAGNETISM AND CRITICAL FIELDS IN THE HIGH-TC SUPERCONDUCTORS Y(1)BA(2)CU(3)O(7-X)S(X)(X=0,1):AN ESR STUDY","PYHS.REV.B,36(1987)4028",1987.0
2187,"A.JIN, D.FINOTELLO, J.E.GREEDAN, K.A.GILLIS, M.H.W.CHAN, Y.P.FENG,",LOW-TEMPERATURE SPECIFIC HEAT OF LA(1.85)SR(0.15)CU(1)O(4) AND LA(2)CU(1)O(4),"PHYS.REV.B,38(1988)7041",1988.0
2188,"A.MARINO, J.E.RODRIGUEZ,",THERMOELECTRIC POWER OF BULK AND THIN FILM BISMUTH HIGH TC SUPERCONDUCTORS,SOLID STATE COMMUN.82(1992)775,1992.0
2189,"F.G.ALIEV, M.A.ARRANZ MONGE, V.V.MOSHCHALKOV, V.V.PRYADUN,",THERMAL CONDUCTIVITY OF TMBA2CU3OX AND BI2SR2CACU2OX SINGLE CRYSTALS IN THE VICINITY OF THE SUPERCONDUCTING TRANSITION,SOLID STATE COMMUN.82(1992)241,1992.0
2192,"M. SATO, M. SERA, S. SHAMOTO,",SMALL ELECTRONIC SPECIFIC HEAT IN THE ELECTRON DOPED CU-OXIDESUPERCONDUCTORS,SOLID STATE COMMUN.72(1989)749,1989.0
2193,"D. M. DE LEEUW, G. M. STOLLMAN, W. A. GROEN,","OXYGEN CONTENT, LATTICE CONSTANTS AND TC OF BI2SR2-XLAXCUO6+ZWHTH 0.0",SOLID STATE COMMUN.72(1989)697,1989.0
2197,"A.A.A.YOUSSEF, S.MASE, Y.HORIE,",MAGNETORESISTANCE AND THE COHERENCE LENGHT IN C-AXIS-ORIENTEDHIGH-TC PHASE (BI1-XPBX)2SR2CA2CU3O10+Y,"SOLID STATE COMMUN,73(1990)771",1990.0
2198,"H. FUJISHITA, M. SATO, M. SERA, S. SHAMOTO,",ON THE ANOMALOUS MAGNETIC BEHAVIORS OF HIGH-TC OXIDES,SOLID STATE COMMUN.72(1989)689,1989.0
2202,"S.TANEMURA, Y.KODAMA,",SUBSTITUTION EFFECTS OF FE AND CO FOR CU IN YBA2(CU1-XMX)4O8 SUPERCONDUCTORS,"PHYSICA C,199(1992)1",1992.0
2207,"MINORU SUZUKI,",THERMALLY ACTIVATED RESISTIVE BEHAVIOR AND FLUX MOTION IN LA2-XSRXCUO4 SINGLE-CRYSTAL THIN FILMS,"PHYS.REV.B,46(1992)14230",1992.0
2210,"A.KAPITULNIK, D.B.MITZI, D.LI.WILLIAMS, D.R.HARSHMAN, G.P.ESPINOSA, M.INUI, R.N.KLEIMAN, T.PFIZ,",MAGNETIC PENETRATION DEPTH AND FLUX DYUNAMICS IN SINGLE-CRYSTAL BI2SR2CACU2O8+Z,"PHYS.REV.LETT.,67(1991)3152",1991.0
2211,"C.C.ALMASAN, M.B.MAPLE, M.C.DE ANDRADE, S.H.HAN, Y.DALICHAOUCH,",DETERMINATION OF THE UPPER CRITICAL FIELD OF THE ELECTRON-DOPED SUPERCONDUCTOR SM1.85CE0.15CUO4-Y FROM RESISTIVE FLUCTUATIONS,"PHYS.REV.B,46(1992)14290",1992.0
2212,"Chen Zuyao, Su Zhenpeng, Sun Shifang, Zhang Han, Zhang Qirui, Zhao Yong,",LACALIZATION OF THE ELECTRONS AND SUPERCONDUCTIVITY IN YBa2Cu3-xNixO7-y,"Solid State Commun.,67(1988)31-33",1988.0
2219,"C.V.TOMY, D.T.ADROJA, N.C.SONI, R.NAGARAJAN, RAM PRASAD, S.K.DHAR, S.K.MALIK,",SUPERCONDUCTING AND MAGNETIC STUDIES ON GDBA2(CU1-XFEX)3O7+Z OXIDE SYSTEM,SOLID STATE COMMUN.67(1988)521,1988.0
2225,"B. Gegenheimer, J. Wittg, K. Winzer, N. Lotter, U. Koch, W. Assmus,",PRESSURE DEPENDENCE OF Tc FOR SINGLE CRYSTAL YBa2Cu3O7-x UP TO 10 GPa,"Solid State Commun.,67(1988)959-963",1988.0
2227,"BV.SKUMRYEV, G.J.BALDHA, H.H.JOSHI, H.MOHAN, K.V.RAO, R.B.JOTANIA, R.G.KULKARNI,",NEW HIGH-TC 2-2-3 TYPE SUPERCONDUCTOR Y2BA1.5CA0.5CU3O8+Z,"SOLID STATE COMMUN,73(1990)511",1990.0
2228,"HIDESHI FUJISHITA, MASATOSHI SATO,",COMPARISON OF THE NORMAL STATE PROPERTIES BETWEEN THE SUPERCONDUCTING AND THE NONSUPERCONDUCTING METALLIC PHASES IN LA2-YSRYCUL-XNIXO4,"SOLID STATE COMMUN.,72(1989)529",1989.0
2229,"J.L.PENG, R.L.GREENE, S.J.HAGEN, WU JIANG,",HALL-EFFECT STUDIES OF Y1-XPRXBA2CU3O7 CRYSTALS,"PHYS.REV.B,46(1992)8694",1992.0
2233,"A.KOBAYASHI, M.KATO, T.HIKITA, T.KAWAGUCHI, T.NOJI, Y.KOIKE, Y.ONO, Y.SAITO,","ANOMALOUS X DEPENDENCE OF TC AND POSSIBILITY OF LOW-TEMPERATURE STRUCTURAL PHASE TRANSITION IN LA2-XSRXCU0.99M0.01O4 (M=NI,ZN,GA)",SOLID STATE COMMUN.82(1992)889,1992.0
2237,"S.UCHIDA, Y.NAKAMURA,",ANISOTROPIC TRANSPORT PROPERTIES OF SINGLE-CRYSTAL LA2-X-YNDYSRXCUO4: EFFECT OF THE STRUCTURAL PHASE TRANSITION,"PHYS.REV.B,46(1992)5841",1992.0
2246,"J.L.TALLON, J.R.COOPER, S.D.OBERTELLI,",SYSTEMATICS IN THE THERMOELECTRIC POWER OF HIGH-TC OXIDES,"PHYS.REV.B,46(1992)14928",1992.0
2247,"E.LAXMI NARSAIAH, U.V.SUBBA RAO,",MGNETISM AND SUPERCONDUCTIVITY IN THE 2:2:1:2 BISMUTH CUPRATEBY DYSPROSIUM SUBSTITUTION (BI2SR2CA1-XDYXCU2O8+Z),SOLID STATE COMMUN.83(1992)689,1992.0
2250,"B.MARTINEZ, J.FONTCUBERTA, L.FABREGA, S.PINOL, X.OBRADORS,",CRITICAL FIELDS AND FUNDAMENTAL LENGTHS IN A SUPERCONDUCTING ELECTRON-DOPED PR1.85CE0.15CUO4-Y SINGLE CRYSTAL,"PHYS.REV.B,46(1992)5581",1992.0
2251,"A.JEZOWSKI, P.W.KLAMUT,",THERMAL CONDUCTIVITY OF ND-CE-CU-O SUPERCONDUCTORS,"J.LESS-COMMON METALS,169(1991)L17",1991.0
2252,"A.CASSANHO, C.UHER, D.R.GABBE, D.T.MORELLI, G.L.DOLL, H.P.JENSSEN, J.HEREMANS, M.S.DRESSELHAUS, S.D.PEACOR,",THERMAL CONDUCTIVITY OF SINGLE CRYSTAL LANTHANUM CUPRATES AT VERY LOW TEMPERATURE,"SOLID STATE COMMUN,77(1991)773",1991.0
2253,"D.T.MORELLI, G.W.SMITH, J.HEREMANS, S.C.STRITE III,",THERMAL AND ELECTRONIC PROPERTIES OF RARE-EARTH BA(2)CU(3)O(X) SUPERCONDUCTORS,"PHYS.REV.B,37(1988)1604",1988.0
2258,"B. Batlogg, J.V. Waszczak, L.F. Schneemeyer, T.T.M. Palstra,",Transport Entropy of Vortex Motion in YBa2Cu3O7,Phys.rev.Lett.64(1990)3090,1990.0
2259,"D.M.GINSBERG, J.P.RICE, M.B.SALAMON, S.E.INDERHEES,",HEAT CAPACITY OF YBA2CU3O7-Z CRYSTALS ALONG THE HC2 LINE,"PHYS.REV.B,(1993)1053",1993.0
2260,"C.N.R.RAO, R.VIJAYARAGHAVAN,",SUPERCONDUCTING PROPERTIES OF TL1-YPBYCASR2CU2O7: ROLE OF PB AND OXYGEN STOICHIOMETRY,SOLID STATE COMMUN.83(1992)73,1992.0
2265,"G.V.CHANDRASHEKHAR, M.DAUMLING,",MAGNETIC PROPERTIES OF BI2SR2CACU2O8+Z SINGLE CRYSTALS WITH VARIABLE OXYGEN CONTENT,"PHYS.REV.B,46(1992)6422",1992.0
2266,"A.ZETTL, M.F.CROMMIE,",THERMAL-CONDUCTIVITY ANISOTROPY OF SINGLE-CRYSTAL BI2SR2CACU2O8,"PHYS.REV.B,43(1991)408",1991.0
2267,"A.ZETTL, M.F.CROMMIE,",THERMAL CONDUCTIVITY OF SINGLE-CRYSTAL BI-SR-CA-CU-O,"PHYS.REV.B,41(1990)10978",1990.0
2269,"B.PIERCE, E.GARCIA, L.BERNARDEZ, M.FLUSS, N.N.SAUER, R.R.RYAN, Z.FISK,",SYNTHSIS AND SUPERCONDUCTING CRITICAL TEMPERATURE OF YBA2CU3 18O7-Z,"PHYS.REN.B,38(1988)2900",1988.0
2272,"D.ANDREONE, F.ABBATTISTA, M.VALLINO, R.S.GONNELLI, V.LACQUANITI,",POINT-CONTACT TUNNELING IN MONOPHASIC AND POLYPHASIC Y-BA-CU-O SAMPLES:EXPERIMENT AND MODEL,"PHYS.REV.B,39(1989)2261",1989.0
2275,"J.AKIMITSU, T.EKINO,",TUNNELING STUDY ON THE ELECTRON-DOPED SUPERCONDUCTOR ND1.85CE0.15CUO4-Y,"PHYS.REV.B,40(1989)7364",1989.0
2277,"A.F.CLARK, H.C.KU, JOHN MORELAND, L.F.GOODRICH, N.SHELTON,",TUNNELING SPECTROSCOPY OF A LA-SR-CU-O BREAK JUNCTION: EVIDENCE FOR STRONG-COUPLING SUPERCONDUCTIVITY,"PHYS.REV.B,35(1987)8711",1987.0
2278,"HE JIAN, WANG GUOWEN, WANG LANPING,",TUNNELING MEASUREMENT OF THE ENERGY GAPS IN THE SUPERCONDUCTORS Y-BA-CU-O AND TI-BA-CA-CU-O,"PHYS.REV.B,40(1989)10954",1989.0
2280,"J.M.GONZALEZ-CALBET, M.A.RAMOS, M.VALLET-REGI, S.VIEIRA,",TUNNELING MEASUREMENTS OF THE ENERGY GAP IN BI(4)CA(3)SR(3)CU(4)O(16+Z),"PHYS.REV.B,38(1988)9295",1988.0
2281,"A.P.FEIN, J.R.KIRTLEY, M.W.SHAFER,",TUNNELING MEASUREMENTS OF THE DEPENDENCE OF THE ENERGY GAP ON CRITICAL TEMPERATURE IN LA(2-X)SR(X)CU(1)O(4-Y),"PHYS.REV.B,37(1988)9738",1988.0
2284,"JUN AKIMITSU, TOSHIKAZU EKINO,",ELECTRON-TUNNELING STUDIES ON THE SUPERCONDUCTING (LA1-XSRX)2CUO4 AND YBA2CU3OY SYSTEMS,"PHYS.REV.B,42(1990)8049",1990.0
2292,"J. Akimitsu, M. Sato, S. Hosoya, T. Ekino,",ELECTRON TUNNELING STUDY OF HIGH-Tc SUPERCONDUCTOR La-Sr-Cu-O SYSTEM,"Solid State Commun.,62(1987)535-537",1987.0
2293,"A.PLECENIK, M.DARULA, M.GRAJCAR, P.MIKUSIK, S.BENACKA, S.CHROMIK,",THE ENERGY GAP DEPRESSION IN YBA2CU3O7-X/METAL CONTACTS,"SOLID STATE COMMUN.,78(1991)809",1991.0
2294,"B.SUSLA, E.L.WOLF, H.J.TAO,",TUNNELING EVIDENCE OF STRONG COOPER-PAIR-BREAKING NEAR TC IN CUPRATE SUPERCONDUCTORS,"SOLID STATE COMMUN.,77(1991)519",1991.0
2295,"H. Mazaki, J. Takada, K. Hirata, K. Iijima, K. Yamamoto, T. Terashima, Y. Bando,",Tunnel junctions using oxide superconducting thin films epitaxially grown on SrTiO3,Appl.Phys.Lett.53(1988)2689,1988.0
2296,"H. Mazaki, J. Takada, K. Hirata, K. Iijima, K. Yamamoto, T. Terashima, Y. Bando,",Tunneling measurement on superconductor/insulator/superconductor junctions using single-crystal YBa2Cu3O7-x thin films,Appl.Phys.Lett.56(1990)683,1990.0
2297,"B. Morosin, D.S. Ginley, E.L. Venturini, John Mareland,",Break junction measurement of the tunneling gap of a thallium-based high temperature superconductor crystal,Appl.Phys.Lett.55(1989)1463,1989.0
2301,"DAISUKE SHIMADA, NOBUAKI MIYAKAWA, NOBUO TSUDA, TADAHARU KIDO,",FINE STRUCTURE IN THE TUNNELING CONDUCTANCE OF A BI2SR2CACU2O8-GAAS JUNCTION,"J.PHYS.SOC.JAPAN,58(1989)383",1989.0
2302,"DAISUKE SHIMADA, NOBUAKI MIYAKAWA, NOBUO TSUDA, TADAHARU KIDO,",TUNNELING CONDUCTANCE OF A BI2SR2CACU2O8-GAAS JUNCTION:TEMPERATURE DEPENDENCE OF THE GAP,"J.PHYS.SOC.JAPAN,59(1990)2473",1990.0
2303,"A Edgar, C J Adkins, S J Chandler,",Electron tunneling spectroscopy of YBaCu3O7-x ceramics,"J.Phys.C,20(1987)L1009-L1015",1987.0
2304,"M.AMMAN, R.BEN-JACOB, R.C.JAKLEVIC, R.WILKINS,",TUNNELING SPECTROSCOPY STUDY OF YBA2CU3O7 THIN FILMS USING A CRYOGENIC SCANNING TUNNELING MICROSCOPE,"PHYS.REV.B,41(1990)8904",1990.0
2305,"CLARE GLORIOSO, GREG W.BOOK, JAMES M.ROZELL JR., JANNETTE CUNNINGHAM, JOHN P.GOLBEN, MARCUS VLASSE,",A POWDER X-RAY DIFFRACTION AND ELECTRICAL STUDY OF DY(BA2-XSRX)CU3O7-Z SUPERCONDUCTING CUPRATES,"PHYSICA C,204(1993)384",1993.0
2311,"J.J.YUE, W.J.ZHU, Y.Z.HUANG, Z.X.ZHAO,","(B,CU)SR2YCU2O7,A NEW LAYERED COPPER-OXIDE BASED ON THE BORON-OXYGEN GROUP","PHYSICA C,205(1993)118",1993.0
2317,"H.B.RADOUSKY, R.N.SHELTON, T.J.GOODWIN,","SUPERCONDUCTING,MAGNETIC,ELECTRONIC TRANSPORT,AND STRUCTURAL PROPERTIES OF (R1.5CE0.5)SR2CU2NBO10,R=PR,ND,SM,EU","PHYSICA C,204(1992)212",1992.0
2320,"Hiromoto Uwe, Takayuki IWAMATSU,",Normal-State Uniform Mgnetic Susceptibility and Superconductivity in Bi2SrzCa3-zCu2Oy,J.Phys.Soc.Japan62(1993)1017-1024,1993.0
2331,"E.V.ANTIPOV, M.MAREZIO, O.CHMAISSEM, S.N.PUTILIN,",SUPERCONDUCTIVITY AT 94K IN HGBA2CUO4+Z,"NATURE,362(1993)226",1993.0
