num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
155397,La1Fe0.982Zn0.018As1F0.28O0.68,"La(Fe,Zn)As(O,H)",oxypnictide,19.6,3.8298,,8.6998,JPCM026435702,La,1.0,Fe,0.982,Zn,0.018000000000000002,As,1.0,F,0.28,,,,,,,,,O,0.68,0.68,La1.0Fe0.982Zn0.018000000000000002As1.0F0.28O0.68
155398,La1Fe0.973Zn0.027As1F0.28O0.68,"La(Fe,Zn)As(O,H)",oxypnictide,12.2,3.8224,,8.7059,JPCM026435702,La,1.0,Fe,0.973,Zn,0.027000000000000003,As,1.0,F,0.28,,,,,,,,,O,0.68,0.68,La1.0Fe0.973Zn0.027000000000000003As1.0F0.28O0.68
155428,Y1Ba2Cu3O6.45,YBa2Cu3Oz,Y123,45.0,,,,NATCOM0053280,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,6.45,6.45,Y1.0Ba2.0Cu3.0O6.45
155429,Y1Ba2Cu3O6.8,YBa2Cu3Oz,Y123,78.5,,,,NATCOM0053280,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,6.8,6.8,Y1.0Ba2.0Cu3.0O6.8
155430,Y1Ba2Cu4O6.998,YBa2Cu3Oz,Y123,90.5,,,,NATCOM0053280,Y,1.0,Ba,2.0,Cu,4.0,,,,,,,,,,,,,O,6.997999999999999,6.997999999999999,Y1.0Ba2.0Cu4.0O6.997999999999999
155431,Y1Ba2Cu3O8,YBa2Cu4O8,Y124,80.0,,,,NATCOM0053280,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,8.0,,Y1.0Ba2.0Cu3.0O8.0
155432,Y1Ba1.972Ba0.028Cu3O7-z,"Y(Ba,Ca)2Cu3Oz",Y123,87.0,,,,NATCOM0053280,Y,1.0,Ba,1.972,Ba,0.027999999999999997,Cu,3.0,,,,,,,,,,,O,7.0,,Y1.0Ba1.972Ba0.027999999999999997Cu3.0O7.0
155433,Tl2Ba2Cu1O6,Tl2Ba2CuO6,Tl2201,59.0,,,,NATCOM0053280,Tl,2.0,Ba,2.0,Cu,1.0,,,,,,,,,,,,,O,6.0,,Tl2.0Ba2.0Cu1.0O6.0
155434,Tl2Ba2Cu1O6,Tl2Ba2CuO6,Tl2201,33.0,,,,NATCOM0053280,Tl,2.0,Ba,2.0,Cu,1.0,,,,,,,,,,,,,O,6.0,,Tl2.0Ba2.0Cu1.0O6.0
155435,Tl2Ba2Cu1O6,Tl2Ba2CuO6,Tl2201,20.0,,,,NATCOM0053280,Tl,2.0,Ba,2.0,Cu,1.0,,,,,,,,,,,,,O,6.0,,Tl2.0Ba2.0Cu1.0O6.0
155436,Tl2Ba2Cu1O6,Tl2Ba2CuO6,Tl2201,15.0,,,,NATCOM0053280,Tl,2.0,Ba,2.0,Cu,1.0,,,,,,,,,,,,,O,6.0,,Tl2.0Ba2.0Cu1.0O6.0
155451,La1Fe1As1F0.05O0.95,"La(O,F)FeAs",oxypnictide,20.0,,,,NATM0080305,La,1.0,Fe,1.0,As,1.0,F,0.05,,,,,,,,,,,O,0.95,,La1.0Fe1.0As1.0F0.05O0.95
155452,La1Fe1As1F0.075O0.925,"La(O,F)FeAs",oxypnictide,21.2,,,,NATM0080305,La,1.0,Fe,1.0,As,1.0,F,0.075,,,,,,,,,,,O,0.925,,La1.0Fe1.0As1.0F0.075O0.925
155453,La1Fe1As1F0.1O0.9,"La(O,F)FeAs",oxypnictide,25.1,,,,NATM0080305,La,1.0,Fe,1.0,As,1.0,F,0.1,,,,,,,,,,,O,0.9,,La1.0Fe1.0As1.0F0.1O0.9
155454,La1Fe1As1F0.15O0.85,"La(O,F)FeAs",oxypnictide,10.5,,,,NATM0080305,La,1.0,Fe,1.0,As,1.0,F,0.15,,,,,,,,,,,O,0.85,,La1.0Fe1.0As1.0F0.15O0.85
155455,La1Fe1As1F0.2O0.8,"La(O,F)FeAs",oxypnictide,11.1,,,,NATM0080305,La,1.0,Fe,1.0,As,1.0,F,0.2,,,,,,,,,,,O,0.8,,La1.0Fe1.0As1.0F0.2O0.8
155465,Ce1Fe1As1F0.05O0.95,CeFeAsO0.95F0.05,oxypnictide,11.9,3.9988,,8.6243,PRB083054501,Ce,1.0,Fe,1.0,As,1.0,F,0.05,,,,,,,,,,,O,0.95,,Ce1.0Fe1.0As1.0F0.05O0.95
155466,Ce1Fe1As0.85P0.15F0.05O0.95,"CeFe(As,P)O0.95F0.05",oxypnictide,21.7,,,,PRB083054501,Ce,1.0,Fe,1.0,As,0.85,P,0.15,F,0.05,,,,,,,,,O,0.95,,Ce1.0Fe1.0As0.85P0.15F0.05O0.95
