id :,str3 :,composition :,latc :,lata :,latb :,cu-o_a1 :,cu-o_a2 :,cu-o_a :,cu-o_p :
72836,Tl2212,Tl2Ba2Ca1Cu2O8 ,29.3122,3.8569999999999998,3.8569999999999998,2.6180000000000003,,2.6180000000000003,1.9285
72837,Tl2212,Tl1.81Ba2Ca1Cu2O8 ,29.3153,3.8489999999999998,3.8489999999999998,2.685,,2.685,1.9245
78593,Tl2212,Tl2Ba2Ca1Cu2O8 ,29.42,3.853,3.853,2.697,,2.697,1.9265
68197,Tl2212,Tl1.93Ba2Ca1.07Cu2O8 ,29.388,3.86,3.86,2.6210000000000004,,2.6210000000000004,1.93
72235,Tl2212,Tl1.86Ba2Ca1Cu2O7.904,29.337,3.86,3.86,2.6460000000000004,,2.6460000000000004,1.93
75704,Tl2212,Tl2Ba2CaCu2O7.768,29.33939,3.8560000000000003,3.8560000000000003,2.69,,2.69,1.9280000000000002
78100,Tl2212,Tl1.99Ba2CaCu2O7.84,29.408890000000003,3.8560000000000003,3.8560000000000003,2.7060000000000004,,2.7060000000000004,1.9280000000000002
91165,Tl2212,Tl1.3Hg0.7Ba2CaCu2O7.8,29.51,3.8480000000000003,3.8480000000000003,2.6439999999999997,,2.6439999999999997,1.9240000000000002
68396,Tl2212,Tl2Ba2CaCu2O8,29.41,3.8560000000000003,3.8560000000000003,2.7039999999999997,,2.7039999999999997,1.9280000000000002
63151,Tl2212,Tl2Ba2CaCu2O8,29.318,3.855,3.855,2.7,,2.7,1.9275
65325,Tl2212,Tl2Ba1.96Ca0.93Cu1.96O8.17,29.2596,3.8558,3.8558,2.622,,2.622,1.9279
75822,Tl2212,Tl1.977Ba2Ca0.875Cu2O8 ,29.316999999999997,3.8545,3.8545,2.688,,2.688,1.92725
87039,Tl2212,Tl1.95Ba2Hg1.05Cu2O8 ,29.04,3.889,3.889,2.439,,2.439,1.9445
280890,Tl2212,Tl1.21Hg0.79Sr1.49Ba0.87Ca0.64Cu2O7.56 ,29.145,3.838,3.838,2.499,,2.499,1.919
80071,Hg2212,Hg2Ba2Y0.6Ca0.4Cu2O7.76,29.034000000000002,3.8545,3.8545,2.509,,2.509,1.92725
96050,Hg2212,Hg1.5Pb0.5Ba2Ca0.42Y0.58Cu2O8 ,28.9314,3.85554,3.85554,2.489,,2.489,1.92777
55653,Hg2212,Hg1.66Y1.34Sr1.4Ba0.6Cu2O7.88 ,28.4176,3.83195,3.83195,2.313,,2.313,1.915975
55654,Hg2212,Hg1.52Y1.48Sr2Cu2O7.8 ,28.136,3.8112,3.8112,2.273,,2.273,1.9056
78315,Hg2212,Hg2Ba2YCu2O7.5504,28.915,3.8606,3.8606,2.469,,2.469,1.9303
80069,Hg2212,Hg1.71Pr0.29Ba2Y1Cu2O8.15  ,28.894000000000002,3.8746,3.8746,2.479,,2.479,1.9373
85239,Hg2212,Hg1.4Tl0.6Ba2Y0.8Ca0.2Cu2O8  ,28.9639,3.8626400000000003,3.8626400000000003,2.4619999999999997,,2.4619999999999997,1.9313200000000001
96048,Hg2212,Hg1.75Pb0.25Ba2Y1Cu2O8.02 ,28.8433,3.8671599999999997,3.8671599999999997,2.441,,2.441,1.9335799999999999
66211,Bi2212,Bi2.15Sr1.92Ca0.75Cu2O8,30.871,5.4079999999999995,5.412999999999999,2.499,,2.499,1.91290062
66487,Bi2212,Bi2.06Sr1.82Ca.8Cu2O8.144,30.871,5.4079999999999995,5.412999999999999,2.484,,2.484,1.91290062
66488,Bi2212,Bi1.98Sr1.75Ca.96Cu2O8.144,30.861,5.415,5.4149,2.483,,2.483,1.914473932
39751,Bi2212,Bi1.952Sr1.84Ca0.23Cu1.86O8,30.771,5.407,5.412000000000001,2.4290000000000003,,2.4290000000000003,1.912547066
65862,Bi2212,Bi2Sr2CaCu2O9.07,30.72,5.376,5.422999999999999,2.4859999999999998,,2.4859999999999998,1.9090115330000001
63217,Bi2212,Bi2.06Sr1.70Ca1.24Cu2O8,30.649,5.3895,5.3946,2.464,,2.464,1.90637756
64633,Bi2212,Bi1.8Sr1.8Ca1.2Cu2.2O8.22,30.725,5.39,5.39,2.5069999999999997,,2.5069999999999997,1.905652775
69884,Bi2212,Bi1.6Pb0.4Sr1.81CaCu2O8.716,30.67,5.347,5.416,2.4819999999999998,,2.4819999999999998,1.902647571
71748,Bi2212,Bi1.2Pb0.8Sr2Y0.6Ca0.4Cu2O8,30.397,5.374,5.421,2.401,,2.401,1.908304426
71824,Bi2212,Bi2Sr2Ca1.15Cu2O9.1,30.72,5.376,5.422999999999999,2.4859999999999998,,2.4859999999999998,1.9090115330000001
71826,Bi2212,Bi2Sr2Ca0.4Y0.6Cu2O10.39,30.21,5.4,5.419,2.375,2.489,2.432,1.912547066
71827,Bi2212,Bi2Sr2YCu2O9.916,30.08,5.426,5.4270000000000005,2.2359999999999998,2.448,2.342,1.918557474
151806,Bi2212,Bi1.7Pb0.4Sr2Ca0.9Cu2O8 ,30.997,5.3852,5.4286,2.53,,2.53,1.911627828
180765,Bi2212,Bi1.74Pb0.22Sr2.0Ca0.88Y0.09Cu1.95O7.88,30.883000000000003,5.405,5.42,2.431,,2.431,1.9136077269999998
41442,Bi2212,Bi2Sr2CaCu2O9 ,30.649,5.3957,5.3971,2.43,,2.43,1.907915517
74258,Bi2212,Bi2Sr2.4Y0.6Cu2O8.5,30.48,5.456,5.461,2.338,,2.338,1.9298711830000002
202921,Bi2212,BiPbSr2YCu2O8,30.316,5.385,5.4239999999999995,2.353,,2.353,1.910779299
