num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :,layers :,types :,cu-o_a :,cid :,cu-o_p :
9595,Y1.0Ba1.0Sr1.0Cu2.95Mo0.05O7.07,Y123,85.0,3.8263,3.8126,11.5558,P063054501,"B. Dabrowski, J. D. Jorgensen, K. Rogacki, O. Chmaissem,","Increase of the superconducting Tc, irreversibility fields, and critical currents in tetragonal YBaSrCu3-xMoxO7 + d","Phys.Rev.B,63(2001)054501",2001.0,3.8263,Two,RE,2.1953641416342062,1.0,1.91315
9596,Y1.0Ba1.0Sr1.0Cu2.9Mo0.1O7.16,Y123,86.0,3.8221,,11.5754,P063054501,"B. Dabrowski, J. D. Jorgensen, K. Rogacki, O. Chmaissem,","Increase of the superconducting Tc, irreversibility fields, and critical currents in tetragonal YBaSrCu3-xMoxO7 + d","Phys.Rev.B,63(2001)054501",2001.0,3.8221,Two,RE,2.2079336232983646,1.0,1.91105
9598,Hg1.0Ba2.0Cu1.0O4.15,Hg1201,97.2,3.88,,9.527,P063014508,"A. Basset, A. Caneiro, A. Serquis, J. D. Jorgensen, J. P. Hodges, S. Short,","Oxygen content, thermodynamic stability, and superconductivity of Hg1-xRexBa2CuO4 + z","Phys.Rev.B,63(2001)014508",2001.0,3.88,One,Hg,2.7819689178821325,0.0,1.94
9599,Hg0.95Re0.05Ba2.0Cu1.0O4.37,Hg1201,96.0,3.872,,9.464,P063014508,"A. Basset, A. Caneiro, A. Serquis, J. D. Jorgensen, J. P. Hodges, S. Short,","Oxygen content, thermodynamic stability, and superconductivity of Hg1-xRexBa2CuO4 + z","Phys.Rev.B,63(2001)014508",2001.0,3.872,One,Hg,2.7512454603841223,0.0,1.936
9734,Tl1.0Sr1.5La0.5Ca1.0Cu2.0O7.0,Tl1212,90.0,3.807,,12.071,PHC3110297,"L.R. Sung, L.R.Sung, M.R.Yeh, M.r. Yeh, W.H. Lee, W.H.Lee,",Magnetic and superconducting properties of Tl(Sr1.5R0.5)CaCu2O7-delta compounds,"Physica.C,311(1998)297-302",1999.0,3.807,Two,Tl,2.3790702594253634,0.0,1.9035
9736,Tl1.0Sr1.5Pr0.5Ca1.0Cu2.0O7.0,Tl1212,88.0,3.809,,12.047,PHC3110297,"L.R. Sung, L.R.Sung, M.R.Yeh, M.r. Yeh, W.H. Lee, W.H.Lee,",Magnetic and superconducting properties of Tl(Sr1.5R0.5)CaCu2O7-delta compounds,"Physica.C,311(1998)297-302",1999.0,3.809,Two,Tl,2.3683935909662512,0.0,1.9045
9737,Tl1.0Sr1.5Nd0.5Ca1.0Cu2.0O7.0,Tl1212,88.0,3.809,,12.046,PHC3110297,"L.R. Sung, L.R.Sung, M.R.Yeh, M.r. Yeh, W.H. Lee, W.H.Lee,",Magnetic and superconducting properties of Tl(Sr1.5R0.5)CaCu2O7-delta compounds,"Physica.C,311(1998)297-302",1999.0,3.809,Two,Tl,2.3678849335740146,0.0,1.9045
9738,Tl1.0Sr1.5Sm0.5Ca1.0Cu2.0O7.0,Tl1212,86.0,3.803,,12.031,PHC3110297,"L.R. Sung, L.R.Sung, M.R.Yeh, M.r. Yeh, W.H. Lee, W.H.Lee,",Magnetic and superconducting properties of Tl(Sr1.5R0.5)CaCu2O7-delta compounds,"Physica.C,311(1998)297-302",1999.0,3.803,Two,Tl,2.355661745826735,0.0,1.9015
9739,Tl1.0Sr1.5Eu0.5Ca1.0Cu2.0O7.0,Tl1212,88.0,3.801,,12.024,PHC3110297,"L.R. Sung, L.R.Sung, M.R.Yeh, M.r. Yeh, W.H. Lee, W.H.Lee,",Magnetic and superconducting properties of Tl(Sr1.5R0.5)CaCu2O7-delta compounds,"Physica.C,311(1998)297-302",1999.0,3.801,Two,Tl,2.3505700351265,0.0,1.9005
9754,Hg1.0Ba2.0Cu1.0O4.09,Hg1201,98.0,3.8817,,9.5339,PHC3510329,"A.Yamamoto, F.Izumi, S.Tajima, Wei-Zhi Hu,",Superconducting and structural properties of nearly carbonate-free HgBa2CuO4+z,"Physica C, 351(2001)329",2001.0,3.8817,One,Hg,2.7857236837625803,0.0,1.94085
