,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
833,66637.0,RE123,3.8548,3.8548,11.857,2.4935,1.9274,
834,74124.0,RE123,3.82239,3.88247,11.66664,2.3146,1.9301,
835,62955.0,RE123,3.90018,3.90018,11.69265,2.1813,1.95,
836,75680.0,RE123,3.8697,3.9171,11.755,2.2792,1.95,
837,65923.0,RE123,3.893,3.938,11.818,2.2241,1.9575,
838,89394.0,RE123,3.8172,3.8465,11.667,2.3596,1.92395,
839,151551.0,RE123,3.8634,3.8634,11.6143,2.209,1.9381,
840,164705.0,RE123,3.88249,3.88249,11.7254,2.3213,1.9412,
841,92006.0,RE123,3.8261,3.88536,11.69967,2.2994,1.9316,
842,68898.0,RE123,3.913,3.9023,11.7688,2.289,1.9552,
843,91987.0,RE123,3.8742,3.8742,11.644,2.2344,1.9371,
844,89387.0,RE123,3.8314,3.8314,11.745,2.4005,1.9157,
845,67194.0,RE123,3.9236,3.9236,11.78,2.2652,1.9618,
846,91988.0,RE123,3.8747,3.8747,11.611,2.2339,1.9373,
847,63457.0,RE123,3.872,3.872,11.6067,2.2586,1.936,
848,246625.0,RE123,3.871,3.9162,11.738,2.249,1.9509,
849,202410.0,RE123,3.9106,3.9106,11.715,2.2293,1.9553,
850,67189.0,RE123,3.911,3.917,11.718,2.2604,1.9585,
851,74132.0,RE123,3.8726,3.8726,11.617,2.1758,1.9363,
852,89206.0,RE123,3.88743,3.88743,11.7895,2.5223,1.94375,
853,41452.0,RE123,3.8654,3.9309,11.725,2.2324,1.96045,
854,151741.0,RE123,3.8628,3.9134,11.7525,2.2494,1.948,
855,56621.0,RE123,3.87873,3.87873,11.69815,2.2396,1.9393,
856,95601.0,RE123,3.8813,3.8813,11.6074,2.2495,1.9406,
857,81155.0,RE123,3.945,3.955,11.698,2.2857,1.9775,
858,96692.0,RE123,3.9067,3.9067,11.6985,2.2004,1.9533,
859,167077.0,RE123,3.8636,3.9089,11.741,2.2448,1.94875,
860,71383.0,RE123,3.928,3.928,11.751,2.1833,1.9144,
861,99513.0,RE123,3.8037,3.8712,11.657,2.2917,1.9213,
862,63428.0,RE123,3.8687,9.915,11.7477,2.2861,1.9343,
863,153700.0,RE123,3.92231,3.93597,11.7073,2.0452,1.96465,
864,157541.0,RE123,3.8728,3.8845,11.641,2.2141,1.9422,
865,68899.0,RE123,3.8944,3.8837,11.6559,2.274,1.9435,
866,66417.0,RE123,3.8881,3.8881,11.6875,2.2743,1.944,
867,89388.0,RE123,3.8272,3.8272,11.735,2.4059,1.9136,
868,74123.0,RE123,3.83002,3.88582,11.67888,2.3217,1.9335,
869,56620.0,RE123,3.88001,3.88001,11.70345,2.2419,1.94,
870,74133.0,RE123,3.8739,3.8739,11.633,2.1939,1.9369,
871,63458.0,RE123,3.9051,3.9051,11.714,2.3029,1.9525,
872,78316.0,RE123,3.8602,3.9248,11.7011,2.2325,1.9545,
873,71828.0,RE123,3.886,3.85,11.66,2.1081,1.9444,
874,89199.0,RE123,3.88528,3.88528,11.74576,2.3188,1.9426,
875,91993.0,RE123,3.8732,3.8732,11.61,2.2535,1.9366,
876,92007.0,RE123,3.82713,3.88389,11.70076,2.2947,1.9311,
877,157539.0,RE123,3.8546,3.9226,11.698,2.2191,1.9471,
878,92005.0,RE123,3.82192,3.88434,11.67983,2.3023,1.9296,
879,151550.0,RE123,3.866,3.866,11.6325,2.2229,1.9403,
880,75683.0,RE123,3.8923,3.8923,11.7145,2.2901,1.9461,
881,91986.0,RE123,3.8509,3.8941,11.688,2.2698,1.9464,
