num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :
184,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.8510000000000004,3.8510000000000004,11.672,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.8510000000000004
185,Y1.0Ba2.0Cu2.95Al0.05O7.0,Y123,88.0,3.835,3.884,11.687999999999999,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.835
186,Y1.0Ba2.0Cu2.9Al0.1O7.0,Y123,75.0,3.844,3.895,11.657,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.844
187,La1.85Sr0.15Cu1.0O4.0,T,39.3,3.7769999999999997,,13.225999999999999,PRB0368393,"E.J. McNiff, Jr, G.W. Hull, J.M. Tarascon, K.A. Delin, L.H. Greene, P. Barboux, S. Foner, T.P. Orlando, W.R. Mckinnon,",3d-metal doping of the high-temperature superconducting perovskites La-Sr-Cu-O and Y-Ba-Cu-O,"Phys.Rev.B,36(1987)8393",1987.0,3.7769999999999997
188,La1.85Sr0.15Cu0.975Ni0.025O4.0,T,22.6,3.775,,13.222000000000001,PRB0368393,"E.J. McNiff, Jr, G.W. Hull, J.M. Tarascon, K.A. Delin, L.H. Greene, P. Barboux, S. Foner, T.P. Orlando, W.R. Mckinnon,",3d-metal doping of the high-temperature superconducting perovskites La-Sr-Cu-O and Y-Ba-Cu-O,"Phys.Rev.B,36(1987)8393",1987.0,3.775
193,Y1.0Ba2.0Cu2.89Al0.11O7.0,Y123,82.0,3.847,3.8510000000000004,11.659,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.847
194,Y1.0Ba2.0Cu2.88Al0.12O7.0,Y123,51.0,3.855,3.859,11.684000000000001,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.855
195,Y1.0Ba2.0Cu2.87Al0.13O7.0,Y123,45.0,3.843,3.859,11.667,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.843
196,Y1.0Ba2.0Cu2.865Al0.135O7.0,Y123,45.0,3.8560000000000003,3.86,11.674000000000001,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.8560000000000003
197,Y1.0Ba2.0Cu2.82Al0.18O7.0,Y123,20.0,3.8539999999999996,3.8560000000000003,11.668,PRB0368365,"B. Batlogg, D.W. Murphy, J.V. Waszczak, L.F. Schneemeyer, L.W. Rupp, N.P. Singh, R.L. Opila, T. Siegrist,",Aluminum substitution in Ba2YCu3O7,"Phys.Rev.B.,36(1987)8365",1987.0,3.8539999999999996
208,Eu1.0Ba2.0Cu3.0O7.1,RE123,94.9,3.845,3.9010000000000002,11.704,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.845
209,Gd1.0Ba2.0Cu3.0O7.08,RE123,93.8,3.84,3.8989999999999996,11.703,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.84
210,Dy1.0Ba2.0Cu3.0O6.82,RE123,92.7,3.8280000000000003,3.889,11.668,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.8280000000000003
211,Ho1.0Ba2.0Cu3.0O6.71,RE123,92.9,3.822,3.888,11.67,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.822
222,Er1.0Ba2.0Cu3.0O6.82,RE123,92.4,3.815,3.885,11.659,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.815
223,Tm1.0Ba2.0Cu3.0O6.65,RE123,92.5,3.81,3.8819999999999997,11.655999999999999,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.81
224,Yb1.0Ba2.0Cu3.0O6.71,RE123,87.0,3.799,3.873,11.65,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.799
226,Y1.0Ba2.0Cu3.0O6.72,Y123,93.4,3.824,3.887,11.657,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.824
228,Nd1.0Ba2.0Cu3.0O7.16,RE123,95.3,3.855,3.9139999999999997,11.735999999999999,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.855
229,Sm1.0Ba2.0Cu3.0O7.11,RE123,93.5,3.855,3.8989999999999996,11.720999999999998,PRB0360226,"E.M. Vogel, G.W. Hull, J.M. Tarascon, L.H. Greene, W.R. McKnnon,",Oxygen and rare-earth doping of the 90-K superconducting perovskite YBa2Cu3O7-x,"Phys.Rev.B,36(1987)226",1987.0,3.855
233,Y1.0Ba2.01Cu2.81Ni0.19O6.7,Y123,65.0,3.819,3.888,11.661,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.819
234,Y1.0Ba2.02Cu2.18Zn0.82O7.0,Y123,30.0,3.8289999999999997,3.887,11.67,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.8289999999999997
235,Y1.0Ba1.99Cu2.847Ag0.153O6.7,Y123,86.0,3.827,3.8930000000000002,11.683,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.827
236,Y1.0Ba2.0Cu2.902Pt0.098O6.4,Y123,81.0,3.82,3.886,11.675,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.82
237,Y1.0Ba2.01Cu2.7Co0.3O6.8,Y123,36.0,3.8710000000000004,,11.664000000000001,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.8710000000000004
